# x y z r p longitude latitude
-4.81000000e+05 1.98700000e+05 -3.01850000e+06 3.06310000e+06 9.99280000e+09 2.74984638e+00 -1.39994034e+00
1.62000000e+05 -2.67200000e+05 -3.21050000e+06 3.22570000e+06 7.08790000e+09 -1.02576654e+00 -1.47367927e+00
8.10000000e+04 -7.40800000e+05 -3.36440000e+06 3.44600000e+06 9.25830000e+08 -1.46188772e+00 -1.35274277e+00
1.92000000e+05 -5.36500000e+05 -3.15080000e+06 3.20190000e+06 8.73740000e+09 -1.22712311e+00 -1.39190024e+00
2.49000000e+05 2.03300000e+05 -3.48260000e+06 3.49740000e+06 3.01470000e+08 6.84700772e-01 -1.47876695e+00
6.91000000e+05 -7.12900000e+05 -3.11760000e+06 3.27190000e+06 6.91710000e+09 -8.00996300e-01 -1.26246358e+00
-1.34200000e+06 -2.83200000e+05 -3.18410000e+06 3.46700000e+06 2.06750000e+09 -2.93361578e+00 -1.16402262e+00
-3.35000000e+05 -6.95200000e+05 -3.05110000e+06 3.14720000e+06 8.26640000e+09 -2.01983967e+00 -1.32303937e+00
-6.26000000e+05 -5.36900000e+05 -3.04290000e+06 3.15270000e+06 7.09250000e+09 -2.43266389e+00 -1.30610274e+00
-6.50000000e+05 1.75100000e+05 -3.32410000e+06 3.39160000e+06 2.24050000e+09 2.87845448e+00 -1.37095399e+00
5.10000000e+04 1.60200000e+05 -3.06660000e+06 3.07120000e+06 9.12700000e+09 1.26258896e+00 -1.51605768e+00
6.82000000e+05 7.36000000e+04 -3.40470000e+06 3.47310000e+06 2.46000000e+09 1.07501845e-01 -1.37200394e+00
-2.38000000e+05 -2.22000000e+04 -3.48340000e+06 3.49160000e+06 8.96650000e+08 -3.04858446e+00 -1.50224834e+00
2.30000000e+04 7.06200000e+05 -3.27880000e+06 3.35410000e+06 4.80640000e+09 1.53823916e+00 -1.35850104e+00
1.20800000e+06 -6.93000000e+04 -3.28200000e+06 3.49800000e+06 1.62390000e+09 -5.73047408e-02 -1.21753792e+00
-6.66000000e+05 -2.61300000e+05 -3.07320000e+06 3.15540000e+06 7.00810000e+09 -2.76770509e+00 -1.34204110e+00
-9.10000000e+04 1.81000000e+05 -3.41610000e+06 3.42210000e+06 2.95720000e+09 2.03665144e+00 -1.51157096e+00
