# ID x y z r p longitude latitude
87348 -1.79200000e+06 -1.48100000e+05 -2.95870000e+06 3.46230000e+06 1.93340000e+09 -3.05913496e+00 -1.02467908e+00
87349 -1.56400000e+06 1.74800000e+05 -2.60460000e+06 3.04310000e+06 7.34800000e+09 3.03028985e+00 -1.02729548e+00
87350 -1.51800000e+06 -3.81000000e+04 -2.85540000e+06 3.23410000e+06 5.24890000e+09 -3.11649911e+00 -1.08201140e+00
87351 -1.29500000e+06 8.22000000e+04 -2.71260000e+06 3.00700000e+06 8.48360000e+09 3.07820279e+00 -1.12460014e+00
87353 -8.17000000e+05 4.74100000e+05 -2.77880000e+06 2.93500000e+06 8.07570000e+09 2.61578908e+00 -1.24308110e+00
87364 -1.70200000e+06 6.60100000e+05 -2.74300000e+06 3.29500000e+06 5.22500000e+09 2.77161467e+00 -9.83557005e-01
87365 -1.30800000e+06 3.00400000e+05 -2.52790000e+06 2.86210000e+06 9.77370000e+09 2.91584378e+00 -1.08271155e+00
87366 -1.22800000e+06 1.65800000e+05 -2.98190000e+06 3.22910000e+06 6.17670000e+09 3.00738793e+00 -1.17696634e+00
87382 -1.25900000e+06 3.95100000e+05 -2.79970000e+06 3.09510000e+06 7.64080000e+09 2.83750523e+00 -1.13034379e+00
87395 -1.27100000e+06 6.93000000e+05 -3.14940000e+06 3.46620000e+06 1.70430000e+09 2.64241132e+00 -1.13992717e+00
87396 -1.43200000e+06 8.27200000e+05 -2.64460000e+06 3.11910000e+06 7.05060000e+09 2.61776639e+00 -1.01196023e+00
87421 -1.56900000e+06 9.45300000e+05 -2.88150000e+06 3.41450000e+06 3.62880000e+09 2.59934747e+00 -1.00451341e+00
87458 -9.35000000e+05 -2.51310000e+06 -2.23470000e+06 3.49050000e+06 1.85050000e+09 -1.92697859e+00 -6.94789127e-01
87459 -7.77000000e+05 -2.07750000e+06 -2.59650000e+06 3.41490000e+06 3.98580000e+09 -1.92869633e+00 -8.63843147e-01
87466 -1.02900000e+06 -2.08120000e+06 -2.48990000e+06 3.40440000e+06 1.21790000e+09 -2.02997504e+00 -8.20338972e-01
87472 8.95000000e+05 -2.04000000e+06 -2.29940000e+06 3.20160000e+06 6.86920000e+09 -1.15735774e+00 -8.01216924e-01
87473 1.22600000e+06 -1.86730000e+06 -2.61970000e+06 3.44280000e+06 2.49070000e+09 -9.89821259e-01 -8.64731911e-01
87475 -1.52800000e+06 -1.91810000e+06 -2.45300000e+06 3.46860000e+06 1.22320000e+09 -2.24347391e+00 -7.85532483e-01
87479 -3.01000000e+05 -1.88690000e+06 -2.73070000e+06 3.33290000e+06 4.58250000e+09 -1.72898442e+00 -9.60217887e-01
87482 5.24000000e+05 -1.69010000e+06 -2.51050000e+06 3.07140000e+06 8.15200000e+09 -1.27015341e+00 -9.56847878e-01
87485 1.02200000e+06 -1.79430000e+06 -2.42170000e+06 3.18260000e+06 7.02300000e+09 -1.05304376e+00 -8.64727908e-01
87487 1.41600000e+06 -1.40650000e+06 -2.69140000e+06 3.35070000e+06 4.28660000e+09 -7.82032366e-01 -9.32706675e-01
87488 -1.18800000e+06 -1.38240000e+06 -3.02390000e+06 3.53080000e+06 2.54360000e+08 -2.28070795e+00 -1.02832372e+00
87499 1.11500000e+06 -1.59080000e+06 -2.60300000e+06 3.24800000e+06 5.46970000e+09 -9.59463101e-01 -9.29659373e-01
87500 1.37700000e+06 -1.62120000e+06 -2.45300000e+06 3.24680000e+06 5.75490000e+09 -8.66667638e-01 -8.56436997e-01
87503 -1.40500000e+06 -1.36360000e+06 -2.54370000e+06 3.21000000e+06 6.54990000e+09 -2.37114678e+00 -9.14782447e-01
87505 -1.17800000e+06 -1.53340000e+06 -2.79030000e+06 3.39480000e+06 3.76430000e+09 -2.22586132e+00 -9.64797417e-01
87511 3.33000000e+05 -8.83600000e+05 -2.49700000e+06 2.66960000e+06 1.40300000e+10 -1.21038952e+00 -1.20923628e+00
87512 2.41000000e+05 -1.09730000e+06 -2.68480000e+06 2.91040000e+06 8.84610000e+09 -1.35459897e+00 -1.17446873e+00
87514 9.20000000e+05 -1.35770000e+06 -2.58580000e+06 3.06210000e+06 1.06310000e+10 -9.75251291e-01 -1.00554340e+00
87521 -2.08500000e+06 -1.26120000e+06 -2.39060000e+06 3.41360000e+06 2.62240000e+09 -2.59758379e+00 -7.75840616e-01
87523 -1.11500000e+06 -9.35000000e+05 -2.44980000e+06 2.84940000e+06 1.12880000e+10 -2.44377476e+00 -1.03479944e+00
87527 -3.70000000e+04 -5.17200000e+05 -2.61230000e+06 2.66330000e+06 1.62490000e+10 -1.64221371e+00 -1.37478304e+00
87531 1.04100000e+06 -1.34320000e+06 -3.01920000e+06 3.46460000e+06 1.27360000e+09 -9.11476956e-01 -1.05813576e+00
87536 -2.18600000e+06 -5.21600000e+05 -2.47880000e+06 3.34590000e+06 4.99600000e+09 -2.90736302e+00 -8.34330522e-01
