# ID x y z r p longitude latitude
32202 -1.10320000e+06 -5.29430000e+06 -7.13790000e+05 5.45490000e+06 3.02810000e+10 -1.77623169e+00 -1.31229323e-01
32218 -3.09840000e+06 -4.98720000e+06 -1.24780000e+06 6.00240000e+06 1.14680000e+10 -2.12670922e+00 -2.09410703e-01
32221 -2.17780000e+06 -5.49070000e+06 -1.28900000e+06 6.04580000e+06 9.64910000e+09 -1.94839788e+00 -2.14855100e-01
32228 4.78450000e+05 -5.85060000e+06 -1.17350000e+06 5.98630000e+06 1.36730000e+10 -1.48919996e+00 -1.97308676e-01
32244 -2.81380000e+06 -5.21540000e+06 -7.77240000e+05 5.97680000e+06 1.58910000e+10 -2.06555601e+00 -1.30412179e-01
32245 -2.21990000e+06 -4.88250000e+06 -8.37820000e+05 5.42850000e+06 3.13890000e+10 -1.99752257e+00 -1.54956675e-01
32246 -2.30480000e+06 -5.28950000e+06 -1.49090000e+06 5.95930000e+06 1.17450000e+10 -1.98172114e+00 -2.52866566e-01
32271 -2.62480000e+06 -4.57310000e+06 -9.38920000e+05 5.35580000e+06 3.53970000e+10 -2.09185254e+00 -1.76219631e-01
32302 -2.84930000e+06 -4.95560000e+06 -7.97110000e+05 5.77160000e+06 1.88400000e+10 -2.09260483e+00 -1.38551879e-01
32333 -3.84760000e+06 -4.39630000e+06 -9.45100000e+05 5.91820000e+06 1.38300000e+10 -2.28973421e+00 -1.60380491e-01
32443 -3.97900000e+06 -4.17340000e+06 -1.36880000e+06 5.92650000e+06 1.57870000e+10 -2.33235327e+00 -2.33066942e-01
32478 -4.30920000e+06 -3.70350000e+06 -1.10910000e+06 5.78920000e+06 1.75530000e+10 -2.43164349e+00 -1.92772604e-01
32513 4.44820000e+06 -3.45340000e+06 -9.13020000e+05 5.70490000e+06 1.90910000e+10 -6.60158539e-01 -1.60732561e-01
34378 -8.77800000e+05 -5.77820000e+06 -8.58980000e+05 5.90730000e+06 1.25070000e+10 -1.72155941e+00 -1.45927280e-01
34379 1.69400000e+05 -5.87250000e+06 -5.55080000e+05 5.90110000e+06 1.31030000e+10 -1.54195801e+00 -9.42030866e-02
34386 1.64250000e+06 -5.68140000e+06 2.63960000e+05 5.91990000e+06 1.05040000e+10 -1.28936811e+00 4.46033790e-02
34417 7.15000000e+04 -6.08420000e+06 -1.10190000e+06 6.18360000e+06 3.15840000e+09 -1.55904512e+00 -1.79153989e-01
34436 -7.99700000e+05 -5.35210000e+06 -7.61550000e+05 5.46480000e+06 3.23870000e+10 -1.71911702e+00 -1.39810546e-01
34461 -1.57550000e+06 -4.81770000e+06 -4.05550000e+05 5.08500000e+06 4.37370000e+10 -1.88685711e+00 -7.98389710e-02
34467 1.62600000e+05 -4.36540000e+06 -2.49020000e+05 4.37550000e+06 6.85880000e+10 -1.53356609e+00 -5.69431211e-02
34484 -2.32040000e+06 -5.57440000e+06 -1.02770000e+06 6.12490000e+06 5.58560000e+09 -1.96524093e+00 -1.68587959e-01
34579 -3.30840000e+06 -4.20080000e+06 -6.22240000e+05 5.38330000e+06 3.23460000e+10 -2.23790838e+00 -1.15846034e-01
34650 -4.19400000e+06 -4.00850000e+06 -1.19150000e+06 5.92260000e+06 1.06230000e+10 -2.37880569e+00 -2.02560908e-01
34731 -4.25580000e+06 -3.47120000e+06 -8.83290000e+05 5.56250000e+06 2.76660000e+10 -2.45738772e+00 -1.59468738e-01
34774 -4.54900000e+06 -3.43080000e+06 -4.82650000e+05 5.71810000e+06 2.14350000e+10 -2.49541678e+00 -8.45079591e-02
34820 -4.78180000e+06 -3.45210000e+06 -8.70420000e+05 5.96160000e+06 1.27090000e+10 -2.51630311e+00 -1.46528205e-01
34821 -5.05160000e+06 -3.03290000e+06 -8.49790000e+05 5.95310000e+06 1.58800000e+10 -2.60089082e+00 -1.43236767e-01
34822 -4.80380000e+06 -2.97270000e+06 -5.73390000e+05 5.67820000e+06 2.05510000e+10 -2.58744785e+00 -1.01153357e-01
36688 -1.92880000e+06 -5.50860000e+06 -1.07720000e+06 5.93510000e+06 1.40630000e+10 -1.90759890e+00 -1.82508033e-01
36727 1.56080000e+06 -4.76630000e+06 4.75930000e+04 5.01560000e+06 4.40120000e+10 -1.25433586e+00 9.48913674e-03
36786 8.85400000e+05 -4.33640000e+06 -4.27540000e+04 4.42610000e+06 6.93130000e+10 -1.36938615e+00 -9.65966989e-03
36800 -3.99910000e+06 -4.49450000e+06 -1.57580000e+06 6.21900000e+06 2.42000000e+09 -2.29793423e+00 -2.56177636e-01
36845 -1.84300000e+06 -3.89140000e+06 -2.52960000e+05 4.31320000e+06 7.78180000e+10 -2.01310869e+00 -5.86815444e-02
36875 -4.43740000e+06 -4.07450000e+06 -1.36300000e+06 6.17650000e+06 2.65860000e+09 -2.39880312e+00 -2.22506621e-01
36876 -3.63450000e+06 -3.94220000e+06 -7.20990000e+05 5.41020000e+06 3.19990000e+10 -2.31560545e+00 -1.33662584e-01
36912 -3.89410000e+06 -3.80030000e+06 -7.19440000e+05 5.48850000e+06 2.69930000e+10 -2.36838457e+00 -1.31459665e-01
36946 3.55390000e+06 -3.80300000e+06 -2.93750000e+05 5.21340000e+06 4.29340000e+10 -8.19244603e-01 -5.63750440e-02
36961 -2.00930000e+06 -3.07180000e+06 -4.24560000e+05 3.69510000e+06 1.03210000e+11 -2.15005652e+00 -1.15152428e-01
37039 -4.38260000e+06 -3.26000000e+06 -6.11370000e+05 5.49620000e+06 3.02940000e+10 -2.50203874e+00 -1.11465711e-01
37080 -4.70670000e+06 -3.29450000e+06 9.15800000e+03 5.74520000e+06 1.68500000e+10 -2.53089378e+00 1.59402699e-03
